time,weekday,uid,last
2022-03-01T00:15:00Z,Tuesday,MLU00390001,4.4
2022-03-01T00:30:00Z,Tuesday,MLU00390001,4.3
2022-03-01T00:45:00Z,Tuesday,MLU00390001,4.5
2022-03-01T01:00:00Z,Tuesday,MLU00390001,4.2
2022-03-01T01:15:00Z,Tuesday,MLU00390001,4.5
2022-03-01T01:30:00Z,Tuesday,MLU00390001,4.2
2022-03-01T01:45:00Z,Tuesday,MLU00390001,4.5
2022-03-01T02:00:00Z,Tuesday,MLU00390001,4.4
2022-03-01T02:15:00Z,Tuesday,MLU00390001,4.3
2022-03-01T02:30:00Z,Tuesday,MLU00390001,4.5
2022-03-01T02:45:00Z,Tuesday,MLU00390001,4.3
2022-03-01T03:00:00Z,Tuesday,MLU00390001,4.5
2022-03-01T03:15:00Z,Tuesday,MLU00390001,4.5
2022-03-01T03:30:00Z,Tuesday,MLU00390001,4.3
2022-03-01T03:45:00Z,Tuesday,MLU00390001,4.4
2022-03-01T04:00:00Z,Tuesday,MLU00390001,4.2
2022-03-01T04:15:00Z,Tuesday,MLU00390001,4.3
2022-03-01T04:30:00Z,Tuesday,MLU00390001,4.3
2022-03-01T04:45:00Z,Tuesday,MLU00390001,4.3
2022-03-01T05:00:00Z,Tuesday,MLU00390001,4.5
2022-03-01T05:15:00Z,Tuesday,MLU00390001,4.2
2022-03-01T05:30:00Z,Tuesday,MLU00390001,4.3
2022-03-01T05:45:00Z,Tuesday,MLU00390001,5.8
2022-03-01T06:00:00Z,Tuesday,MLU00390001,7.2
2022-03-01T06:15:00Z,Tuesday,MLU00390001,7.8
2022-03-01T06:30:00Z,Tuesday,MLU00390001,7.9
2022-03-01T06:45:00Z,Tuesday,MLU00390001,8.0
2022-03-01T07:00:00Z,Tuesday,MLU00390001,8.2
2022-03-01T07:15:00Z,Tuesday,MLU00390001,8.2
2022-03-01T07:30:00Z,Tuesday,MLU00390001,8.2
2022-03-01T07:45:00Z,Tuesday,MLU00390001,10.1
2022-03-01T08:00:00Z,Tuesday,MLU00390001,13.0
2022-03-01T08:15:00Z,Tuesday,MLU00390001,49.1
2022-03-01T08:30:00Z,Tuesday,MLU00390001,51.9
2022-03-01T08:45:00Z,Tuesday,MLU00390001,47.0
2022-03-01T09:00:00Z,Tuesday,MLU00390001,48.2
2022-03-01T09:15:00Z,Tuesday,MLU00390001,52.3
2022-03-01T09:30:00Z,Tuesday,MLU00390001,57.2
2022-03-01T09:45:00Z,Tuesday,MLU00390001,56.7
2022-03-01T10:00:00Z,Tuesday,MLU00390001,60.9
2022-03-01T10:15:00Z,Tuesday,MLU00390001,56.7
2022-03-01T10:30:00Z,Tuesday,MLU00390001,58.9
2022-03-01T10:45:00Z,Tuesday,MLU00390001,57.5
2022-03-01T11:00:00Z,Tuesday,MLU00390001,59.0
2022-03-01T11:15:00Z,Tuesday,MLU00390001,57.1
2022-03-01T11:30:00Z,Tuesday,MLU00390001,59.1
2022-03-01T11:45:00Z,Tuesday,MLU00390001,57.4
2022-03-01T12:00:00Z,Tuesday,MLU00390001,53.3
2022-03-01T12:15:00Z,Tuesday,MLU00390001,55.9
2022-03-01T12:30:00Z,Tuesday,MLU00390001,51.3
2022-03-01T12:45:00Z,Tuesday,MLU00390001,51.5
2022-03-01T13:00:00Z,Tuesday,MLU00390001,55.6
2022-03-01T13:15:00Z,Tuesday,MLU00390001,48.9
2022-03-01T13:30:00Z,Tuesday,MLU00390001,46.9
2022-03-01T13:45:00Z,Tuesday,MLU00390001,45.1
2022-03-01T14:00:00Z,Tuesday,MLU00390001,44.7
2022-03-01T14:15:00Z,Tuesday,MLU00390001,43.2
2022-03-01T14:30:00Z,Tuesday,MLU00390001,42.6
2022-03-01T14:45:00Z,Tuesday,MLU00390001,38.9
