architecture,d_model,num_heads,ff_dim,num_layers,dropout_rate,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
encoder,32,2,64,1,0.0,10,32,218657.57891100884,0.9957179283412175,350.0934642581588,1.1094004580916508,1.1094004580916508,467.6083606085426,1.244975268641027,56.0828058719635
encoder,32,2,64,1,0.0,10,64,252809.3824991816,0.9950491179072525,382.3245502800375,1.1888181240846132,1.1888181240846132,502.8015339069498,1.4128234966974862,34.75513982772827
encoder,32,2,64,1,0.0,10,128,223796.3840806277,0.9956172927625817,341.5391170185766,1.083789317504686,1.083789317504686,473.07122516659973,1.4877742163862242,21.538769960403442
encoder,32,2,64,1,0.0,20,32,148071.9554541008,0.9971002389806549,282.89537334694904,0.9369934745685358,0.9369934745685358,384.8011895175232,1.2334827692199177,103.63390278816223
encoder,32,2,64,1,0.0,20,64,162954.25875994473,0.9968087920089984,286.28895832671355,0.9261244731489048,0.9261244731489048,403.6759328470608,1.3140271235117351,57.084622383117676
encoder,32,2,64,1,0.0,20,128,231319.8067300002,0.995469958126095,339.18370575007117,1.0728357976163645,1.0728357976163645,480.95717764682564,1.4211730320810874,32.02476930618286
encoder,32,2,64,1,0.0,50,32,124920.11532772583,0.9975536320848298,254.01303122148087,0.8079758115021294,0.8079758115021294,353.4403985507681,1.1270191659995548,246.8362967967987
encoder,32,2,64,1,0.0,50,64,331842.7281606564,0.9935013716491935,492.1447732363684,1.5525348773090328,1.5525348773090328,576.0579208383966,1.095491136821618,133.3538830280304
encoder,32,2,64,1,0.0,50,128,126031.37353509292,0.9975318698056577,248.09184731525184,0.7939467915415053,0.7939467915415053,355.00897669649555,1.1540832632455256,71.8805923461914
encoder,32,2,64,1,0.2,10,32,4790319.103570246,0.9061889838345338,1876.3612956189243,5.332198322554512,5.332198322554512,2188.6797626812026,2.4591118885491414,61.02664923667908
encoder,32,2,64,1,0.2,10,64,8193601.137720261,0.8395409507873538,2595.9289640225297,7.592999515364543,7.592999515364543,2862.446704782512,2.417492808977256,37.388625621795654
encoder,32,2,64,1,0.2,10,128,6676294.258598833,0.8692550673394529,2431.5967404211633,7.35994015096961,7.35994015096961,2583.852600013947,1.7602001643614327,22.76684069633484
encoder,32,2,64,1,0.2,20,32,3884857.9710266474,0.9239210444980794,1653.1483006539584,4.643684960587768,4.643684960587768,1971.004305177096,2.525706927544273,110.39488506317139
encoder,32,2,64,1,0.2,20,64,3106406.615697226,0.9391658144392739,1528.9338540703611,4.398553215720733,4.398553215720733,1762.5001037438908,2.1737256218588596,60.29999661445618
encoder,32,2,64,1,0.2,20,128,4159006.535971217,0.9185522674079297,1807.5196675188442,5.245318434006406,5.245318434006406,2039.364247987891,2.3063850157927535,37.28381586074829
encoder,32,2,64,1,0.2,50,32,4028718.022210751,0.9211037671319143,1630.8466067340496,4.515088070810956,4.515088070810956,2007.1666652798795,3.098179173046339,273.54625153541565
encoder,32,2,64,1,0.2,50,64,4319411.143805786,0.9154109904004399,1751.3317526179867,4.928289927324707,4.928289927324707,2078.319307470771,2.5663676273227507,143.92010498046875
encoder,32,2,64,1,0.2,50,128,3796304.9401006964,0.925655219119036,1623.3569895122944,4.553866544481451,4.553866544481451,1948.410875585716,3.030306423667221,77.96506118774414
encoder,32,2,64,2,0.0,10,32,209118.61697665905,0.9959047342079829,343.7592419222932,1.129849875668331,1.129849875668331,457.29489060852086,1.3252730881594095,70.39077568054199
encoder,32,2,64,2,0.0,10,64,214676.81845469426,0.9957958853990762,348.32106177424737,1.0923662471051252,1.0923662471051252,463.3322980914392,1.4201053665153407,43.32587265968323
encoder,32,2,64,2,0.0,10,128,494562.49954770214,0.9903147557319669,595.2746158130471,1.9883881911535177,1.9883881911535177,703.2513772099577,1.7020430940158426,25.423983335494995
encoder,32,2,64,2,0.0,20,32,199748.29551740873,0.9960882375109746,350.66743202263115,1.1075751391869213,1.1075751391869213,446.93209273603156,1.1169700895690382,126.93685221672058
encoder,32,2,64,2,0.0,20,64,260452.22752158984,0.9948994445676596,408.8839719618549,1.3908352371755603,1.3908352371755603,510.3452042701977,1.3505936850158842,71.68870258331299
encoder,32,2,64,2,0.0,20,128,184999.58553836803,0.9963770682632375,310.12499075605456,0.9882651457251577,0.9882651457251577,430.1157815500008,1.3766381547799647,41.31741547584534
encoder,32,2,64,2,0.0,50,32,103744.1127198191,0.9979683314566294,223.14888887400141,0.7118321811679573,0.7118321811679573,322.0933292072642,1.0465209030373446,303.97161197662354
encoder,32,2,64,2,0.0,50,64,128821.74482001225,0.9974772246849345,258.82023210200754,0.8201833817377833,0.8201833817377833,358.91746240606943,1.080303013092851,162.43286085128784
encoder,32,2,64,2,0.0,50,128,134504.09668759684,0.9973659445820056,260.98635252356576,0.8348496355834224,0.8348496355834224,366.74800161363777,1.1895422976455392,91.78805375099182
encoder,32,2,64,2,0.2,10,32,4676232.402889092,0.9084231960217528,1808.9910005510155,5.076025076368876,5.076025076368876,2162.4598037626256,2.6766439810968436,77.55002093315125
encoder,32,2,64,2,0.2,10,64,4696279.903081196,0.9080305966303684,1888.8597059446763,5.428144591690601,5.428144591690601,2167.090192650319,2.4849264299060145,45.61155462265015
