num_layers,dropout,epochs,batch_size,MSE,RMSE,MAE,MAPE,R2,CVRMSE,Training Time (s),Train_Loss_Final,Val_Loss_Final,Overfit_Gap,Loss_Ratio
1,True,10,16,508043.98992074205,712.7720462537388,517.9059085683315,1.6256391673562436,0.9898816917210183,2.223018217194616,299.6494483947754,0.0005580191500484943,0.0003462264721747488,-0.00021179267787374556,0.6204562552103456
1,True,10,32,874665.4315815137,935.2354952532082,719.9699827299825,2.2295655330155792,0.9825799839122374,2.401352563191081,148.18284678459167,0.0006176949245855212,0.0005960009875707328,-2.169393701478839e-05,0.9648792046828858
1,True,10,64,1078683.198966891,1038.596745116646,796.5084514996303,2.384702740525322,0.9785167242226249,2.729477055083287,74.39917993545532,0.000706739432644099,0.0007350199157372117,2.8280483093112707e-05,1.0400154311289918
1,True,20,16,512159.85491452646,715.653446099805,511.8661643212655,1.5690834098608837,0.9897997193098333,2.049869976154309,598.8648538589478,0.00042395302443765104,0.0003490544913802296,-7.489853305742145e-05,0.8233329431798017
1,True,20,32,387530.6387807459,622.5195890739069,434.0134863798532,1.4032149686896243,0.9922818603338934,2.0693595920194396,287.16654682159424,0.00046374910743907094,0.0002640651655383408,-0.00019968394190073013,0.5694138518057087
1,True,20,64,399058.4812330282,631.7107575726633,449.93580581404177,1.457481748924367,0.9920522694598002,2.061869778512971,144.60171008110046,0.00047539538354612887,0.00027192040579393506,-0.0002034749777521938,0.5719878972437474
1,True,50,16,446699.59455235495,668.3558891431682,481.7492990021414,1.451199759796008,0.9911034392780003,1.955479494531182,1974.5290954113007,0.00028021124307997525,0.0003043141041416675,2.4102861061692238e-05,1.0860167522072375
1,True,50,32,334627.1785770343,578.4696868264009,398.03972776651784,1.2422347726939673,0.9933354964953005,1.813705348483009,853.2030694484711,0.0003056270652450621,0.0002280164771946147,-7.76105880504474e-05,0.7460611415804532
1,True,50,64,345288.7623336445,587.6127656319632,412.6018161939799,1.3049880227734925,0.9931231582070188,1.890512103774852,378.98823285102844,0.00034187472192570567,0.00023528144811280072,-0.00010659327381290495,0.6882095487712917
1,False,10,16,417110.58716335736,645.8409921670793,486.6417367383482,1.5589481402072067,0.9916927400164612,1.8493793333282895,284.43322801589966,0.00028996425680816174,0.000284489244222641,-5.475012585520744e-06,0.9811183190446022
