architecture,d_model,num_heads,ff_dim,num_layers,dropout_rate,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
encdec,64,4,128,1,0.0,10,128,185723.05927039913,0.9963629001453097,312.807624515785,1.0040813689096335,1.0040813689096335,430.9559829848045,1.350952933997589,34.559993743896484
encdec,64,4,128,1,0.0,20,32,158263.26175903715,0.9969006579548717,301.125688922,0.9870497305606423,0.9870497305606423,397.8231538749814,1.1723864357907428,117.13882255554199
encdec,64,4,128,1,0.0,20,64,140541.4500637109,0.9972477123217076,268.1260872659377,0.8602032358232922,0.8602032358232922,374.8885835334425,1.2031866657122618,68.49292230606079
encdec,64,4,128,1,0.0,20,128,376898.47880670836,0.9926190242187156,508.31551872046737,1.6447478386830732,1.6447478386830732,613.9205802110794,1.305242659139234,36.09160542488098
encdec,64,4,128,1,0.0,50,32,109947.607826204,0.997846845566624,231.88148347137403,0.752011876261235,0.752011876261235,331.5834854545745,1.0699356402717484,262.5990540981293
encdec,64,4,128,1,0.0,50,64,107920.82555897305,0.9978865369733808,229.8298374502841,0.7322849409233958,0.7322849409233958,328.5130523418713,1.0576133570451098,136.50132727622986
encdec,64,4,128,1,0.0,50,128,292994.9549222267,0.9942621454107048,429.2528649824889,1.3840255378841788,1.3840255378841788,541.2900838942338,1.3369681764946584,72.647212266922
encdec,64,4,128,1,0.2,10,32,1352961.6749577178,0.9735043309607249,1082.57958584862,3.394503073710663,3.394503073710663,1163.1688075931704,1.30640518805099,65.1074001789093
encdec,64,4,128,1,0.2,10,64,2041449.305729583,0.960021361900913,1353.1121980224127,4.226640644235633,4.226640644235633,1428.79295411532,1.335968191123237,40.719504594802856
encdec,64,4,128,1,0.2,10,128,1244187.7951359164,0.9756344997402406,1022.4454856229672,3.171060910788548,3.171060910788548,1115.4316631402914,1.3599510805451849,27.7312753200531
encdec,64,4,128,1,0.2,20,32,797626.4712670409,0.9843797149684104,759.1067924421415,2.2440948401423686,2.2440948401423686,893.09936248272,1.3115526797392871,110.75929713249207
