Model,Params,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
Linear Regression,{},6896712.591414312,0.8634162511451206,2044.1704418572024,6.317354228903577,6.317354228903577,2626.1592852327735,8.054513365026967,0.010548591613769531
Ridge Regression,{'alpha': 0.001},6896712.69698703,0.8634162490543393,2044.170516206497,6.317354999798148,6.317354999798148,2626.1593053329857,8.05451354767641,0.026816129684448242
Ridge Regression,{'alpha': 0.01},6896713.6492334455,0.8634162301958783,2044.1711853319634,6.317361937754932,6.317361937754932,2626.1594866331798,8.054515193287074,0.009978294372558594
Ridge Regression,{'alpha': 0.1},6896723.3786200825,0.8634160375133382,2044.1779092536885,6.3174314575744335,6.3174314575744335,2626.161339030807,8.054531824036443,0.004706382751464844
Ridge Regression,{'alpha': 1},6896841.185543205,0.8634137044436345,2044.2479472143834,6.318136074020144,6.318136074020144,2626.183768425813,8.054715437753313,0.004384756088256836
Ridge Regression,{'alpha': 10},6899907.639862891,0.8633529758253076,2045.2061493332262,6.32606182893321,6.32606182893321,2626.767526802266,8.058137861143749,0.004076480865478516
Lasso Regression,{'alpha': 0.001},7167950.5052322,0.8580446062331747,2121.9250640390587,6.6301230900080155,6.6301230900080155,2677.302841523947,8.269221633672053,0.06865429878234863
Lasso Regression,{'alpha': 0.01},14317689.709056977,0.7164498723872583,3075.317023360986,9.995110393358498,9.995110393358498,3783.872316695818,12.474555964985631,0.03151059150695801
Lasso Regression,{'alpha': 0.1},50498566.917563036,-8.279161671187474e-05,5910.539543091139,19.445895069647424,19.445895069647424,7106.2343697321885,23.78967740064226,0.011910200119018555
Lasso Regression,{'alpha': 1},50498566.917563036,-8.279161671187474e-05,5910.539543091139,19.445895069647424,19.445895069647424,7106.2343697321885,23.78967740064226,0.09091949462890625
Lasso Regression,{'alpha': 10},50498566.917563036,-8.279161671187474e-05,5910.539543091139,19.445895069647424,19.445895069647424,7106.2343697321885,23.78967740064226,0.06786561012268066
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",3515617.4324382455,0.9303760738036625,1379.1593877960531,4.335541339860874,4.335541339860874,1874.9979819824462,5.978544740385789,4.098910331726074
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",3686680.5800282336,0.9269883081574846,1413.238553319281,4.443170832979638,4.443170832979638,1920.0730663254026,6.102042529519923,6.361098289489746
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",3614755.5225495794,0.9284127250600052,1400.2390497122751,4.403252335855772,4.403252335855772,1901.2510414328717,6.049603588527113,16.20417308807373
