Model,Params,MSE,R2,RMSE,MAE,MAPE,CVRMSE,Training Time (s)
Linear Regression,{},141776.29418755535,0.996274214786553,376.5319298380356,252.09488709638833,0.8744802126492054,1.2586575430712545,0.7731375694274902
Ridge Regression,{'alpha': 0.01},141877.72800065493,0.9962715491744832,376.6666005908341,252.12451981331338,0.874558990003157,1.2588173874617667,0.18833374977111816
Ridge Regression,{'alpha': 0.1},143002.97880554674,0.9962419783436592,378.15734662379197,252.6503831222624,0.8762361728860133,1.2614396933796512,0.21306943893432617
Ridge Regression,{'alpha': 1},158254.53192649322,0.9958411778330678,397.8121817220951,263.4154804139598,0.9130822635466637,1.3118961820626118,0.18357276916503906
Ridge Regression,{'alpha': 10},265867.7189814833,0.9930131759911592,515.6236214347471,346.11320250284433,1.2047411304829458,1.6589208484081759,0.2093968391418457
Lasso Regression,{'alpha': 0.01},4796216.957532484,0.8739586591449591,2190.026702470197,1859.8214965309917,7.229293033053924,7.168837912598793,2.138803720474243
Lasso Regression,{'alpha': 0.1},51073484.12016093,-0.34217665248311935,7146.57149409148,6004.679549096701,23.42770773499329,24.64207451465136,0.17647862434387207
Lasso Regression,{'alpha': 1},51073484.12016093,-0.34217665248311935,7146.57149409148,6004.679549096701,23.42770773499329,24.64207451465136,0.20496225357055664
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",355129.567051942,0.9906674349378213,595.9274847260714,426.62463386947707,1.4480380036826785,1.914839325988178,148.21877121925354
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",361044.1337794034,0.990512004120678,600.8694814844597,432.1175712239111,1.4640839133010926,1.9303197000209094,312.73441791534424
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",361429.2815851847,0.9905018826965852,601.1898881261932,432.8330813867403,1.4685453735676717,1.9360056444233573,621.1976501941681
Random Forest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",363246.1685947965,0.9904541361336375,602.6990696813763,432.72714444867785,1.4609245882671362,1.9276901538418953,158.36679434776306
Random Forest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",359747.8539360024,0.9905460694790703,599.7898414744972,430.96949915557343,1.46200232803542,1.9288260829020205,318.84813165664673
Random Forest,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",355611.75310909,0.990654763414051,596.3319152192762,429.4392842859818,1.4591428122485717,1.9250900111869034,603.1207118034363
Random Forest,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",357662.4441957208,0.9906008726379399,598.0488643879535,429.9144548465884,1.4564503317297146,1.9242480870455718,144.74319410324097
Random Forest,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",360562.27123408,0.990524667142776,600.4683765479078,431.8383770602506,1.463201868949862,1.92781157928772,289.0996470451355
Random Forest,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",361984.8017782888,0.9904872840012737,601.651727977481,432.1266531442733,1.463986049301526,1.931087129190188,602.0876336097717
Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",151403.3347116519,0.9960212226665411,389.1058142866178,268.23726337339315,0.9269162642472413,1.29103852417579,267.95451855659485
Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",149157.77198892803,0.9960802345375745,386.2094923599471,266.3704058457841,0.9223314926805469,1.2849043200165544,533.0405809879303
Random Forest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",148452.60939798676,0.9960987657339884,385.29548323071054,265.442267281418,0.9198236452486014,1.2859145081762826,1060.146623134613
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",149050.22398143055,0.9960830608265417,386.0702319286357,266.69680701848165,0.9246959123242691,1.288076715489454,263.4601242542267
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",149894.20249399196,0.9960608816415053,387.16172653555515,266.98428194844917,0.9245686238235955,1.2892047733904466,527.489394903183
Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",150072.01110420548,0.9960562089513736,387.3912894015629,266.8198371230398,0.9245130740032095,1.287237047416123,1057.6040525436401
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",152040.13365481043,0.996004488020598,389.92324072156873,268.2308852885478,0.9302095288981946,1.3011004082389108,260.3173270225525
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",149578.70347801084,0.9960691727424635,386.75406071302064,266.6586734190343,0.9234514452961831,1.2851980134113645,522.2461931705475
Random Forest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",147976.19468068882,0.9961112855908469,384.67674049868003,264.458043018987,0.9169827739840753,1.281401868322716,1077.4849932193756
Random Forest,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 50}",146498.71238477304,0.9961501128272534,382.7515021326148,263.2392265260142,0.9117948518850104,1.2850743872444506,362.6181409358978
Random Forest,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 100}",144485.7231271689,0.9962030128247727,380.11277685335557,262.14494591700696,0.9061821900397736,1.2692766278987146,728.1659872531891
Random Forest,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",141381.07317803966,0.9962846009276335,376.00674618687316,258.214010737179,0.8946714470365519,1.2599950098939425,1422.6306755542755
Random Forest,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",145962.58095674636,0.9961642019989196,382.0504952970829,262.88642010550456,0.9104106147723467,1.2752899761265035,349.5190439224243
Random Forest,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",145435.11374726216,0.996178063480777,381.3595596641864,260.9834710319973,0.9027096138919166,1.272517753227729,699.6230473518372
Random Forest,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",142552.67490284948,0.9962538120259531,377.5614849304011,259.12434947108704,0.8971111061684115,1.264146776413944,1392.6766686439514
Random Forest,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",145794.1413470525,0.9961686284780483,381.8299901095414,263.0761307051723,0.9104878429772829,1.2797757079830254,347.24713802337646
Random Forest,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",144272.61094444417,0.9962086132689355,379.8323458375342,259.8487374774689,0.9006844912602251,1.2728383682733266,680.3289034366608
Random Forest,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",142939.59410390814,0.9962436440507894,378.0735300228094,259.5164095164302,0.8981268147189929,1.2650865768157056,1361.974571466446
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",46376475.92070642,-0.21874245075531773,6810.027600583306,5719.2730911325425,22.320152110032247,23.501503514752688,102.00523281097412
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",46377209.25873764,-0.21876172238326386,6810.0814428858075,5719.328214906326,22.32033448246269,23.501663082891643,116.63145756721497
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",46375660.231520265,-0.21872101499466412,6809.967711488819,5719.236060033864,22.319943307795075,23.501182553436063,145.56084036827087
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",42131546.4814642,-0.10718857337767984,6490.881795369886,5448.183739929566,21.268481160585736,22.421189374783225,201.9156482219696
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",42125356.714458704,-0.10702591048318166,6490.404973070533,5447.973829007434,21.26727555508104,22.41898817304265,232.90724182128906
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",42131596.04433562,-0.10718987585645112,6490.8856132530655,5448.183592159179,21.26844095313041,22.421164016041516,295.5593144893646
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",34813952.83494886,0.08511284317742696,5900.334976503356,4946.395623335361,19.319760946118265,20.42256426326772,404.62499928474426
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",34820451.96774528,0.08494205035898095,5900.885693499348,4946.648625061147,19.321078356681035,20.425065890683307,464.8547737598419
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",34824996.063312486,0.08482263459790595,5901.2707159824895,4946.884976979661,19.32190166675625,20.426614861936383,581.4233191013336
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",46247984.3930644,-0.2153657802302118,6800.587062383982,5715.353987517698,22.29893241253699,23.443143741764814,160.98192691802979
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",46242638.437181465,-0.21522529212185426,6800.193999966579,5714.980601002458,22.2979095710424,23.441596984766715,184.25698614120483
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",46241654.53330063,-0.21519943579268652,6800.121655772095,5714.896793756704,22.297815404664163,23.441272311948534,229.6725902557373
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",41883405.250735514,-0.10066758950238941,6471.738966517076,5440.310824200599,21.22564445001148,22.304441440093623,320.09486150741577
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",41880099.35530241,-0.10058071280419068,6471.483551342953,5440.03283397893,21.224793382437294,22.303382439084604,365.91482162475586
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",41874776.68286414,-0.10044083656902614,6471.072297762105,5439.703242787036,21.224013883211246,22.301503624529456,462.5667073726654
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",34361627.43939314,0.09699964893776547,5861.879173046229,4929.853663637237,19.233645300580893,20.19387519612434,639.7913601398468
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",34360111.173304975,0.09703949538602619,5861.749838854007,4929.8769095852185,19.233629051827123,20.19235311425477,733.5807325839996
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",34363942.654483296,0.09693880664957977,5862.0766503418645,4930.210914487786,19.23481054645968,20.19322744506696,925.8185520172119
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.7}",46242417.29611654,-0.21521948068409213,6800.1777400386045,5714.321121549632,22.29646208338709,23.44495650251258,214.84327793121338
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",46243414.07508505,-0.21524567536186434,6800.25103029918,5714.368271405494,22.296652372865438,23.44507138857882,246.7133960723877
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",46242672.566087045,-0.21522618900643198,6800.196509372876,5714.2789520407705,22.2964535873903,23.44514240704513,308.5255937576294
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.7}",41871645.87004616,-0.10035856092365036,6470.830384892356,5438.127465094534,21.22018489426024,22.30645845622543,429.61222982406616
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",41871420.96774454,-0.10035265064312937,6470.81300670515,5438.197168285106,21.220508663377846,22.306506000048913,492.5637571811676
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",41873520.03993087,-0.10040781284184974,6470.975200070765,5438.150045460123,21.220851219093895,22.307142001115,620.0146949291229
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.7}",34336352.93270411,0.09766384589564725,5859.722939926777,4925.742789931235,19.223522434670098,20.193962826290523,860.2925992012024
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",34336582.17692539,0.09765782151241176,5859.74250090611,4925.406723985181,19.22288482758392,20.193963498646454,986.3183426856995
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",34340806.06259433,0.09754682065109843,5860.10290546116,4925.627597001806,19.22421691448683,20.19474390867493,1239.880126953125
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",19655861.15915982,0.48345725014166174,4433.493110309276,3697.6476411843005,14.466943870983147,15.45780777637747,100.8275043964386
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",19653116.11716684,0.483529387990421,4433.183519454935,3697.3968355555967,14.466573676427474,15.455846685603468,115.67686104774475
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",19660227.265185937,0.48334251182545984,4433.985483195219,3697.7615488748074,14.467894449038788,15.460690898315319,146.01005840301514
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",7716744.364332356,0.7972091722855632,2777.902871651987,2291.377432629233,8.981876605226201,9.810814048244653,201.77490043640137
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",7727935.5337241925,0.7969150759157841,2779.9164616448807,2292.9603329880197,8.988229345358722,9.81955862203598,231.67769074440002
